;Consciente;DistracaoApp;SomCarro;DirecaoCarro;Percepcao
557;Consciente;Sim;Nao;Esquerda;Atrasado
559;Inconsciente;Sim;Sim;Frente;Perigoso
560;Inconsciente;Sim;Sim;Esquerda;Perigoso
561;Inconsciente;Sim;Nao;Esquerda;Perigoso
562;Inconsciente;Sim;Sim;Esquerda;Perigoso
563;Inconsciente;Sim;Sim;Direita;Perigoso
564;Inconsciente;Sim;Sim;Direita;Perigoso
565;Inconsciente;Sim;Nao;Direita;Atrasado
566;Consciente;Sim;Sim;Esquerda;Perigoso
567;Consciente;Sim;Nao;Direita;Arriscado
568;Consciente;Sim;Sim;Direita;Atrasado
569;Consciente;Sim;Sim;Atras;Esperado
