	Aware	AppDistraction	CarSound	CarDirection
913	Aware	No	On	Right
914	Aware	No	Off	Back
915	Aware	No	On	Back
916	Aware	No	On	Front
917	Aware	No	Off	Front
918	Aware	No	Off	Front
919	Aware	No	Off	Right
920	Aware	No	Off	Back
921	Aware	No	On	Front
922	Aware	No	On	Back
923	Aware	No	On	Left
924	Aware	No	On	Left
925	Aware	No	Off	Left
926	Aware	No	Off	Left
927	Aware	No	On	Right
928	Aware	No	On	Right
929	Aware	No	Off	Right
930	Aware	Yes	On	Back
931	Aware	Yes	Off	Front
932	Aware	Yes	Off	Left
933	Aware	Yes	On	Right
934	Aware	Yes	On	Left
935	Aware	Yes	Off	Left
936	Aware	Yes	On	Front
937	Aware	Yes	Off	Right
938	Aware	Yes	Off	Front
939	Aware	Yes	On	Left
940	Aware	Yes	On	Front
941	Aware	Yes	Off	Back
942	Aware	Yes	On	Back
943	Aware	Yes	Off	Back
944	Aware	Yes	On	Right
945	Aware	Yes	Off	Right
946	Aware	Yes	On	Left
947	Aware	Yes	Off	Left
948	Aware	Yes	Off	Back
949	Aware	Yes	On	Right
950	Aware	Yes	Off	Left
951	Aware	Yes	On	Back
952	Aware	Yes	On	Left
953	Aware	Yes	Off	Front
954	Aware	Yes	Off	Front
955	Aware	Yes	On	Front
956	Aware	Yes	On	Front
957	Aware	Yes	On	Back
958	Aware	Yes	Off	Right
959	Aware	Yes	Off	Right
960	Aware	Yes	On	Right
961	Unaware	Yes	Off	Back
